,client_number,company_name,order_number,order_amount,order_date,paid,contact_first_name,contact_last_name,email,phone
359,,Flashset,608742,$1278243.35,6/1/2021,1,,,,
360,176.0,Twitterbridge,116115,$2903713.38,2/25/2020,0,Harmonia,O'Hederscoll,hohederscollc@mediafire.com,559-170-2232
361,,Divanoodle,76095,$1361404.79,7/24/2020,0,,,,
362,129.0,Flipstorm,820856,$2941165.12,3/27/2021,0,Candace,Pantling,cpantling2@cdbaby.com,923-161-4383
363,126.0,Feedmix,257241,$463411.21,5/9/2020,1,Enos,Marciek,emarciek1g@rediff.com,135-736-9510
364,122.0,Edgewire,340441,$568098.26,1/28/2020,1,Merell,Meake,mmeake2e@npr.org,408-456-6809
365,,Edgetag,687147,$455437.55,4/6/2020,0,,,,
366,,Edgeclub,134533,$2159590.18,12/16/2020,1,,,,
367,,Blogspan,387133,$1521571.41,9/16/2021,1,,,,
368,,Teklist,707832,$2429787.83,11/9/2021,1,,,,
369,,Twitternation,238642,$2705937.39,12/2/2020,1,,,,
370,,Buzzdog,130463,$120901.47,2/19/2020,1,,,,
371,157.0,Realblab,670840,$391983.46,7/6/2020,0,Lilia,Point,lpoint23@constantcontact.com,570-878-0942
372,,Topicblab,23023,$396529.60,9/15/2020,1,,,,
373,,Dabfeed,990747,$2817864.72,6/24/2021,1,,,,
374,149.0,Npath,319507,$2497929.50,5/4/2021,0,Farris,Tulk,ftulk2k@usgs.gov,180-952-1262
375,,Skidoo,232930,$408312.62,6/18/2020,1,,,,
376,183.0,Youtags,825535,$356093.63,10/27/2020,0,Traver,Beckford,tbeckford2f@globo.com,728-840-9195
377,,Linktype,757651,$2816039.17,10/31/2020,1,,,,
378,155.0,Pixoboo,635188,$175774.52,11/1/2021,1,Davine,Trenholme,dtrenholmed@timesonline.co.uk,418-406-9681
379,,Gigazoom,932861,$646704.09,3/1/2022,0,,,,
380,,Thoughtbeat,536565,$277794.45,12/16/2021,0,,,,
381,,Blogtags,918132,$726923.24,5/7/2020,0,,,,
382,,Camido,273610,$1411841.36,3/31/2021,0,,,,
383,,Quimba,32001,$937142.76,3/4/2021,1,,,,
384,,Livepath,721047,$1565693.65,5/4/2020,1,,,,
385,140.0,Linkbuzz,174815,$248371.06,12/27/2020,1,Hersh,Goodrick,hgoodrick1x@gmpg.org,852-867-1555
386,,Cogidoo,700574,$2249775.78,12/25/2020,1,,,,
387,,Twitternation,91642,$2651867.59,5/28/2020,1,,,,
388,,Buzzbean,325020,$1564699.61,10/10/2020,0,,,,
389,159.0,Reallinks,83502,$2990619.56,4/18/2020,0,Brietta,Hazel,bhazelo@posterous.com,857-540-1539
390,,Jabbercube,421569,$1637559.68,5/7/2020,1,,,,
391,,Browsezoom,867824,$741492.19,5/24/2020,0,,,,
392,,Topiclounge,592678,$793637.41,5/27/2021,0,,,,
393,,Yodo,40746,$813630.29,10/11/2021,1,,,,
394,,Wordtune,786350,$2733635.37,12/4/2020,0,,,,
395,,Realbuzz,168300,$1660318.25,4/29/2021,1,,,,
396,,Yakidoo,558361,$2052743.23,7/14/2020,1,,,,
397,,Twimm,132781,$214169.66,3/12/2020,1,,,,
398,,Tagtune,311129,$2327565.10,9/25/2021,0,,,,
399,,Yacero,839939,$981807.73,1/22/2022,0,,,,
400,,Buzzdog,256629,$1503704.01,2/13/2022,0,,,,
401,101.0,Aivee,31677,$2292951.92,10/3/2021,0,Melli,Bartolomeotti,mbartolomeotti25@webs.com,507-785-4101
402,,Bluejam,864213,$427580.16,11/26/2020,0,,,,
403,,Oyonder,547463,$638142.65,4/21/2020,0,,,,
404,,Zoovu,531017,$2464451.60,9/9/2021,1,,,,
405,,Plambee,705440,$2303973.16,5/16/2020,0,,,,
406,,Gabcube,283619,$2129237.93,10/16/2020,1,,,,
407,,Eimbee,289989,$2841314.60,10/14/2021,1,,,,
408,,Oyondu,633142,$901261.94,2/10/2021,0,,,,
409,111.0,Cogilith,253252,$1067082.84,10/20/2020,1,Kellia,Robinson,krobinson1q@adobe.com,637-323-7787
410,,Jetwire,405845,$1177187.73,8/23/2020,0,,,,
411,,Centimia,453779,$2405969.84,12/18/2021,1,,,,
412,,Fivechat,257397,$1715984.74,7/7/2021,1,,,,
413,100.0,Ainyx,745760,$2687625.06,2/12/2021,0,Timmie,Axston,taxston1y@biblegateway.com,167-281-7420
414,,Tazzy,181712,$2929059.86,4/22/2020,1,,,,
415,,Gabtune,718834,$718467.73,6/24/2021,0,,,,
416,,Thoughtmix,676205,$2702008.63,12/13/2020,1,,,,
417,,Jaxnation,439637,$2034257.34,1/20/2022,0,,,,
418,,Viva,86058,$2060186.64,6/5/2020,0,,,,
419,,Kwimbee,555171,$1673816.05,10/24/2021,0,,,,
420,,Rhynoodle,517926,$842192.86,7/27/2021,0,,,,
421,,Skinte,536373,$1850373.61,6/24/2020,0,,,,
422,,Wordpedia,528698,$2829430.70,3/8/2020,1,,,,
423,108.0,Browsecat,971273,$1348330.15,4/30/2021,1,Mikaela,Doddridge,mdoddridgep@tripadvisor.com,272-118-7247
424,,Linktype,323135,$902623.88,5/30/2020,1,,,,
425,123.0,Fatz,182220,$2056705.45,1/5/2022,1,Beitris,Jorioz,bjoriozt@dell.com,459-837-8157
426,,Thoughtblab,40291,$2654763.28,1/24/2022,1,,,,
427,,Aimbo,148048,$875279.39,4/8/2021,0,,,,
428,137.0,Katz,38737,$247075.07,10/19/2020,1,Duncan,Hanwright,dhanwright20@princeton.edu,702-684-3117
429,,Eidel,224691,$640466.43,2/2/2021,1,,,,
430,155.0,Pixoboo,606069,$1266765.96,1/27/2021,0,Davine,Trenholme,dtrenholmed@timesonline.co.uk,418-406-9681
431,,Jabberstorm,819280,$1057572.01,6/21/2020,0,,,,
432,,Meeveo,476407,$1184487.07,4/14/2021,0,,,,
433,,Youfeed,148281,$2382957.41,2/5/2022,1,,,,
434,,Twimbo,540574,$1703861.91,6/30/2020,1,,,,
435,117.0,Divape,889347,$1905930.70,9/28/2021,0,Lorine,Jarry,ljarry21@jiathis.com,300-443-3745
436,,Skinte,893795,$1651132.01,3/3/2022,0,,,,
437,,Shufflebeat,435655,$2801178.28,6/19/2020,0,,,,
438,,Devpoint,858873,$1301195.25,12/3/2020,0,,,,
439,,Realfire,18666,$189621.95,10/22/2021,0,,,,
440,,Edgepulse,541450,$2210680.01,4/14/2020,0,,,,
441,,Mybuzz,187708,$236587.76,9/30/2020,1,,,,
442,,Gigazoom,863447,$965819.74,9/1/2020,1,,,,
443,129.0,Flipstorm,431284,$1181412.61,3/2/2021,1,Candace,Pantling,cpantling2@cdbaby.com,923-161-4383
444,,Quaxo,144064,$448662.61,4/17/2021,0,,,,
445,177.0,Twiyo,822840,$527798.98,8/2/2020,1,Desdemona,McKeever,dmckeever24@tamu.edu,605-231-5184
446,,Wikizz,207999,$2014174.82,4/27/2021,1,,,,
447,,Brainsphere,521075,$2812759.31,7/19/2020,1,,,,
448,135.0,Jayo,957238,$2443983.91,4/19/2020,1,Maressa,Pickthall,mpickthall19@tripadvisor.com,951-232-9353
449,,Tagchat,718627,$729789.75,3/20/2021,1,,,,
450,,Quamba,734455,$1527813.96,11/5/2020,0,,,,
451,,Zoonder,214902,$89615.70,10/23/2020,1,,,,
452,,Tanoodle,707364,$1351299.41,1/3/2022,1,,,,
453,,Blognation,888221,$2108422.02,12/24/2021,0,,,,
454,,Nlounge,7941,$2177702.60,4/2/2020,1,,,,
455,,Eayo,33825,$1579671.67,2/13/2021,1,,,,
456,,Tagopia,501157,$1732143.46,9/20/2021,1,,,,
457,158.0,Realcube,756873,$749616.75,7/8/2020,0,Paul,Egan,pegan2i@cafepress.com,809-144-4834
458,,Wordware,281217,$2288638.69,6/23/2021,1,,,,
459,,Vinte,396514,$1026534.47,4/13/2020,1,,,,
460,,Lazzy,107910,$1811774.48,12/10/2020,0,,,,
461,166.0,Skalith,808039,$602808.21,11/3/2020,1,Mandi,Syseland,msyseland12@amazon.com,297-145-1163
462,148.0,Myworks,352728,$1642302.61,8/2/2020,1,Magda,Slator,mslator15@soup.io,530-531-6130
463,,Kimia,578422,$2565259.73,12/24/2020,0,,,,
464,,Centimia,831603,$2697297.21,12/21/2020,1,,,,
465,140.0,Linkbuzz,586363,$994627.40,9/1/2021,1,Hersh,Goodrick,hgoodrick1x@gmpg.org,852-867-1555
466,,Skipfire,768458,$2745383.96,12/1/2020,1,,,,
467,,Feedfire,655910,$151470.02,1/28/2022,0,,,,
468,106.0,Brainlounge,584281,$203740.09,4/17/2020,1,Dyana,Mingame,dmingame1i@cafepress.com,778-932-5910
469,,Kwimbee,682360,$432143.24,8/27/2021,1,,,,
470,,Voonder,982740,$1889430.78,3/12/2022,0,,,,
471,,Camimbo,136466,$1021276.28,4/26/2020,1,,,,
472,,Dabshots,371427,$1740076.12,1/14/2020,0,,,,
473,,Jabberstorm,826604,$771732.07,11/21/2020,0,,,,
474,,Jamia,319911,$1212432.96,3/8/2022,0,,,,
475,,Trupe,298071,$1673708.14,9/29/2021,1,,,,
476,,Bubbletube,295621,$897070.94,12/3/2020,0,,,,
477,,Quatz,375422,$1798354.49,7/31/2020,0,,,,
478,,Yacero,832706,$57415.15,7/18/2021,0,,,,
479,178.0,Vinder,776439,$2036994.26,8/15/2021,1,Kristien,Heaford,kheaford2n@unicef.org,212-950-2416
480,,Fadeo,327487,$996286.48,1/21/2021,0,,,,
481,,Twitterlist,685077,$2023835.17,11/18/2020,1,,,,
482,,JumpXS,491814,$2807261.77,10/13/2020,1,,,,
483,,Camido,359757,$1058919.99,12/13/2021,1,,,,
484,,Plambee,915083,$1171102.16,9/23/2021,0,,,,
485,,Thoughtmix,912652,$1929966.28,4/21/2020,1,,,,
486,,Bluejam,211580,$274828.95,7/18/2020,1,,,,
487,141.0,Livetube,33103,$1587012.68,2/19/2021,1,Teador,MacPike,tmacpikej@narod.ru,406-711-8877
488,,Oyonder,34506,$1945435.09,5/30/2020,0,,,,
489,139.0,Leenti,617982,$1382737.09,7/1/2020,1,Leona,Murricanes,lmurricanes1j@surveymonkey.com,114-571-4885
490,,Oyoloo,80524,$1247529.85,1/14/2020,0,,,,
491,,Centimia,153897,$742065.95,5/21/2021,1,,,,
492,,Babblestorm,845632,$419469.36,8/1/2020,1,,,,
493,,Ozu,793068,$1205496.26,12/26/2020,0,,,,
494,149.0,Npath,367778,$2535998.85,2/12/2021,0,Farris,Tulk,ftulk2k@usgs.gov,180-952-1262
495,,Oloo,640024,$82975.28,9/3/2021,0,,,,
496,,Twitterwire,597925,$1432742.31,12/24/2020,1,,,,
497,,Oyoba,697346,$1598122.75,12/13/2021,1,,,,
498,138.0,Kazu,619518,$1620663.17,2/7/2021,1,Stacee,Langford,slangford2o@mozilla.com,474-959-0252
499,,Jaxworks,444483,$798169.37,1/12/2020,0,,,,
500,,Realbuzz,911931,$853479.88,1/9/2021,1,,,,
501,,Meeveo,119652,$752515.95,1/29/2022,1,,,,
502,164.0,Roombo,454447,$2920513.57,9/25/2020,1,Rorie,Frissell,rfrissell1e@cnn.com,196-953-7974
503,,Miboo,453982,$87317.36,12/4/2020,0,,,,
504,,Skiba,34634,$2878526.67,1/18/2022,0,,,,
505,,Devpulse,681029,$2659083.12,2/2/2022,0,,,,
506,,Shufflester,928473,$2139029.96,11/14/2021,1,,,,
507,,Fliptune,915869,$250194.39,5/12/2020,1,,,,
508,,Bluezoom,146336,$1750655.17,12/25/2021,0,,,,
509,,Thoughtblab,663672,$2793948.88,1/17/2020,0,,,,
510,,Tagchat,713341,$920726.62,3/9/2021,0,,,,
511,,Ntag,91638,$1886696.33,8/29/2020,0,,,,
512,,Oyoloo,717753,$2448537.01,1/1/2021,0,,,,
513,182.0,Youbridge,962573,$234091.34,2/10/2022,1,Kylen,Daughton,kdaughton22@washington.edu,123-917-7150
514,,Quaxo,388466,$551084.13,8/30/2020,0,,,,
515,131.0,Gabtype,633783,$572346.26,3/4/2020,1,Briney,Robinet,brobinet2p@google.com,410-515-0856
516,,Skibox,949720,$231053.69,4/29/2020,1,,,,
517,,Twitternation,70000,$2909120.31,1/1/2021,1,,,,
518,,Thoughtbeat,191893,$665983.02,7/25/2021,0,,,,
519,182.0,Youbridge,866329,$783171.26,2/28/2021,0,Kylen,Daughton,kdaughton22@washington.edu,123-917-7150
520,157.0,Realblab,301292,$2158767.54,8/12/2020,1,Lilia,Point,lpoint23@constantcontact.com,570-878-0942
521,,Jamia,567011,$2504667.05,12/17/2021,1,,,,
522,,Buzzbean,708903,$2040261.32,4/9/2020,1,,,,
523,103.0,Avaveo,882157,$1997196.87,11/22/2020,0,Dick,Borgnol,dborgnol1m@sbwire.com,229-807-3736
524,,Browseblab,126320,$2494183.43,8/12/2020,1,,,,
525,160.0,Rhybox,411482,$1559168.80,11/17/2021,0,Margarita,Philippault,mphilippault1z@issuu.com,952-964-5965
526,,Yabox,62333,$303827.66,2/24/2022,0,,,,
527,155.0,Pixoboo,309857,$1141800.20,10/29/2021,1,Davine,Trenholme,dtrenholmed@timesonline.co.uk,418-406-9681
528,,Talane,664966,$2234542.67,7/3/2021,0,,,,
529,,Eimbee,689558,$2303771.10,1/24/2021,0,,,,
530,,Leexo,301829,$1512390.36,5/23/2021,0,,,,
531,183.0,Youtags,903845,$287913.23,1/12/2020,1,Traver,Beckford,tbeckford2f@globo.com,728-840-9195
532,,Ntags,969477,$964553.59,7/5/2021,1,,,,
533,149.0,Npath,163778,$2393659.38,5/9/2020,0,Farris,Tulk,ftulk2k@usgs.gov,180-952-1262
534,,Bluejam,325311,$2044053.40,9/30/2020,0,,,,
535,,Eimbee,206627,$2010523.03,3/11/2020,1,,,,
536,170.0,Tagfeed,643514,$2345263.64,3/10/2020,0,Dieter,Satchel,dsatchel8@indiatimes.com,932-555-7149
537,171.0,Tagfeed,643514,$2345263.64,3/10/2020,0,Blakelee,O'Scanlon,boscanlon26@imdb.com,834-491-0107
538,,Twitterbeat,405750,$863141.01,4/11/2020,0,,,,
539,,Gevee,511199,$740672.17,12/15/2020,1,,,,
540,141.0,Livetube,827089,$2599055.11,1/31/2021,0,Teador,MacPike,tmacpikej@narod.ru,406-711-8877
541,,Centimia,884444,$183306.50,2/14/2022,1,,,,
542,,Jazzy,988169,$1685744.97,5/27/2020,0,,,,
543,,Leexo,658054,$267665.45,7/21/2021,0,,,,
544,,Bubbletube,348954,$1243815.88,1/11/2020,1,,,,
545,,Buzzbean,649707,$1262693.41,1/1/2022,1,,,,
546,,Mydo,399901,$2541987.62,5/12/2021,1,,,,
547,,Miboo,435565,$947101.12,9/3/2021,0,,,,
548,,Quire,68335,$548744.52,5/4/2021,0,,,,
549,,Browseblab,47470,$940561.03,8/8/2020,0,,,,
550,164.0,Roombo,184380,$168189.68,5/1/2020,1,Rorie,Frissell,rfrissell1e@cnn.com,196-953-7974
551,,Skinder,160059,$1953451.99,8/15/2020,1,,,,
552,,Jabberbean,148907,$2199277.38,6/5/2020,0,,,,
553,,Janyx,526263,$770864.36,10/13/2020,1,,,,
554,,Blognation,145578,$2448151.77,1/14/2022,1,,,,
555,,Trunyx,456221,$933917.99,2/6/2020,1,,,,
556,,Ntag,280044,$2341483.82,3/10/2021,0,,,,
557,,Yodoo,193846,$2252594.68,2/27/2020,0,,,,
558,,Devshare,420667,$474727.83,4/18/2020,1,,,,
559,,Blogpad,29116,$2321659.07,5/24/2020,1,,,,
560,,Bubblebox,112140,$2677618.25,4/17/2021,1,,,,
561,,Devshare,878704,$650533.09,4/20/2021,0,,,,
562,,Skyble,157434,$2019816.43,12/31/2021,1,,,,
563,112.0,Dablist,884927,$24271.40,7/1/2020,1,Zebulen,Dyett,zdyett2q@wikipedia.org,811-395-4452
564,151.0,Oozz,216205,$356895.76,11/29/2021,0,Marje,Weldon,mweldon1t@toplist.cz,771-712-8373
565,,Zoovu,171859,$2887143.08,10/9/2021,0,,,,
566,,Devshare,779256,$2736647.48,12/16/2020,1,,,,
567,,Quimm,729849,$2639154.06,10/19/2021,1,,,,
568,,Bluezoom,102124,$361264.39,9/13/2020,0,,,,
569,,Yodel,382293,$506177.64,1/2/2021,0,,,,
570,,Skyndu,309356,$286099.72,9/21/2021,1,,,,
571,,Fivebridge,444662,$2413380.05,1/29/2022,0,,,,
572,145.0,Mita,160024,$1587929.17,10/1/2020,1,Kassandra,Marks,kmarks1f@sohu.com,871-613-5484
573,,Digitube,824303,$1427701.08,10/21/2020,0,,,,
574,,Meezzy,451527,$960190.06,6/6/2020,1,,,,
575,,Gigabox,813886,$2851457.68,3/15/2020,1,,,,
576,,Devpoint,170912,$2820339.44,4/17/2021,1,,,,
577,,Trudoo,501852,$657952.90,6/8/2020,0,,,,
578,,Ooba,47784,$1054351.75,12/7/2021,1,,,,
579,,Tavu,563537,$2192291.28,9/9/2021,0,,,,
580,,Shuffledrive,413409,$223469.08,8/14/2020,1,,,,
581,,Oyoloo,756216,$2198852.08,8/21/2021,1,,,,
582,,Flashdog,404235,$813610.66,2/22/2020,1,,,,
583,,Aimbo,758140,$1850738.33,9/28/2020,0,,,,
584,,Yodo,413189,$1022864.14,8/3/2020,1,,,,
585,162.0,Riffpath,702872,$2333758.76,12/3/2020,1,Rayna,Lepere,rlepere2r@webeden.co.uk,640-947-8076
586,,Babbleblab,172756,$1229753.99,7/12/2020,0,,,,
587,103.0,Avaveo,457180,$1950933.42,10/22/2020,1,Dick,Borgnol,dborgnol1m@sbwire.com,229-807-3736
588,164.0,Roombo,581522,$1542849.06,12/18/2021,0,Rorie,Frissell,rfrissell1e@cnn.com,196-953-7974
589,152.0,Oyope,500700,$2696376.31,6/5/2020,1,Jenny,Curle,jcurleg@skype.com,972-466-2426
590,,Gigashots,458753,$948609.27,6/13/2020,0,,,,
591,,Rhynyx,528257,$1589156.89,6/14/2020,1,,,,
592,122.0,Edgewire,458107,$2888839.43,12/18/2021,1,Merell,Meake,mmeake2e@npr.org,408-456-6809
593,,Quamba,952140,$733923.52,2/22/2022,1,,,,
594,,Bubblebox,939746,$2844777.20,12/25/2020,1,,,,
595,,Vitz,420763,$770124.94,6/8/2021,0,,,,
596,,Babblestorm,88780,$1269327.63,8/24/2020,1,,,,
597,,Aimbu,647190,$2377943.64,8/29/2020,1,,,,
598,,Brightbean,466335,$2684589.10,3/4/2020,0,,,,
599,,Mydo,891953,$2317660.54,7/9/2021,0,,,,
600,,Wordpedia,505559,$77157.95,10/8/2020,0,,,,
601,,Vipe,667147,$155642.18,9/27/2021,0,,,,
602,,Realpoint,811588,$1118154.11,6/3/2020,1,,,,
603,,Fliptune,571313,$1375067.82,2/24/2020,0,,,,
604,182.0,Youbridge,970423,$227329.14,3/12/2021,0,Kylen,Daughton,kdaughton22@washington.edu,123-917-7150
605,,Linktype,278226,$834286.28,8/27/2021,1,,,,
606,,Tagcat,248078,$1687014.05,9/30/2021,1,,,,
607,,Thoughtblab,489652,$1953979.98,9/30/2020,0,,,,
608,,Topicware,567074,$1287701.18,1/22/2020,0,,,,
609,,Babbleset,505962,$2448716.50,12/15/2021,1,,,,
610,,Voonte,433852,$1771019.83,9/18/2021,0,,,,
611,,Quire,35400,$556505.76,8/24/2020,0,,,,
612,,Latz,758742,$121470.07,12/29/2021,1,,,,
613,172.0,Tazz,296881,$728700.08,3/2/2021,0,Dom,Cremins,dcremins1k@eepurl.com,825-319-4686
614,,Blognation,13457,$2263606.15,3/11/2021,0,,,,
615,,Muxo,25437,$2955210.62,12/15/2021,0,,,,
616,,Izio,579020,$1160267.50,11/19/2020,0,,,,
617,,Edgepulse,565737,$2727856.77,4/6/2021,0,,,,
618,114.0,Dazzlesphere,264946,$795020.65,7/5/2020,0,Orlan,Pynner,opynner1o@goo.gl,483-724-2511
619,,Vidoo,233805,$2684772.34,10/27/2020,1,,,,
620,121.0,Edgeify,587848,$2651466.62,5/25/2020,1,Katina,Orrocks,korrocks1a@msn.com,583-797-7636
621,,Brightdog,58976,$842422.77,5/11/2020,1,,,,
622,,Zoomzone,252233,$2663394.50,11/29/2020,1,,,,
623,183.0,Youtags,15820,$1307811.20,6/15/2021,0,Traver,Beckford,tbeckford2f@globo.com,728-840-9195
624,,Gigabox,738953,$714724.16,9/29/2020,0,,,,
625,,Topicware,450563,$1487503.27,7/1/2020,1,,,,
626,,Wordify,3652,$1313278.85,8/18/2021,0,,,,
627,,Demimbu,882580,$1982576.09,10/1/2021,0,,,,
628,109.0,Bubblemix,553475,$1298786.51,11/28/2020,0,Orelle,Rean,orean1p@yale.edu,596-440-3272
629,124.0,Feedbug,848507,$1519821.96,1/20/2021,1,Andee,Cramp,acrampa@nymag.com,292-632-7313
630,,Janyx,737998,$2410054.52,1/2/2020,0,,,,
631,,Dynava,223093,$2108665.78,5/12/2021,1,,,,
632,175.0,Topiczoom,504998,$1466760.45,6/1/2020,1,Danyelle,Feldman,dfeldman14@ox.ac.uk,123-941-2908
633,153.0,Photobug,125655,$1661608.85,6/19/2020,1,Pietra,McDill,pmcdillu@usa.gov,260-861-5130
634,,Realpoint,341944,$2064206.09,5/11/2021,0,,,,
635,,Flipopia,2803,$2915937.33,2/26/2020,1,,,,
636,,Yakitri,37401,$810285.42,9/1/2020,1,,,,
637,,Gabtune,154289,$1728673.24,9/27/2021,1,,,,
638,,Tagpad,160421,$943594.56,1/23/2021,0,,,,
639,,Jamia,319975,$1036374.06,7/24/2021,1,,,,
640,,Topdrive,357138,$20399.29,1/11/2022,0,,,,
641,,Flipopia,717790,$1079166.16,12/2/2020,0,,,,
642,132.0,InnoZ,418184,$2616226.16,10/15/2020,0,Nicoline,Milmore,nmilmore7@dell.com,751-803-1026
643,,Feednation,736389,$2353779.24,6/18/2021,0,,,,
644,,Eimbee,218357,$299019.46,2/8/2022,0,,,,
645,,Devcast,718542,$2810990.49,5/1/2021,1,,,,
646,,Trudoo,258955,$682669.27,5/23/2021,1,,,,
647,,Meezzy,776194,$419358.27,10/7/2020,1,,,,
648,,Kimia,127539,$1951085.85,1/20/2020,0,,,,
649,,Ntags,202232,$1304768.94,12/2/2021,0,,,,
650,181.0,Yamia,941316,$1298856.87,2/15/2021,1,Ilario,Keedy,ikeedyk@cbslocal.com,202-879-2583
651,,Trupe,425390,$570803.02,3/25/2021,0,,,,
652,,Aimbu,702754,$2958104.14,5/26/2020,1,,,,
653,,Pixope,703066,$1409405.23,12/10/2020,1,,,,
654,,Aibox,415937,$1909359.99,2/16/2021,0,,,,
655,,Trunyx,546182,$35982.25,2/9/2022,0,,,,
656,167.0,Skilith,984733,$175938.48,3/26/2020,1,Ossie,Moreno,omoreno13@amazon.co.jp,984-712-4921
657,141.0,Livetube,189923,$71626.90,5/14/2020,0,Teador,MacPike,tmacpikej@narod.ru,406-711-8877
658,,Ailane,965558,$1619436.93,3/9/2022,1,,,,
659,,Latz,738298,$770368.33,1/15/2022,1,,,,
660,,Gigabox,570134,$2673311.30,2/16/2020,1,,,,
661,105.0,Brainbox,558829,$2252615.64,10/18/2020,0,Jodie,Francombe,jfrancombew@google.com.hk,117-975-1987
662,,Oyoba,895486,$2123971.93,12/9/2021,0,,,,
663,,Talane,34532,$1817128.49,3/17/2020,1,,,,
664,,Fanoodle,646818,$2533767.18,2/22/2022,1,,,,
665,,Voonder,767658,$801657.34,8/9/2021,1,,,,
666,,Yodoo,654988,$53680.02,11/20/2020,1,,,,
667,153.0,Photobug,514950,$2808399.63,3/7/2020,1,Pietra,McDill,pmcdillu@usa.gov,260-861-5130
668,,Buzzdog,135681,$742837.19,5/9/2020,0,,,,
669,111.0,Cogilith,584959,$562620.23,6/25/2021,1,Kellia,Robinson,krobinson1q@adobe.com,637-323-7787
670,,Photobean,836650,$432435.16,2/24/2022,0,,,,
671,,Camido,467795,$206229.10,8/13/2020,1,,,,
672,,Quire,358906,$1690612.98,3/16/2021,0,,,,
673,,Jabbercube,97043,$2958167.86,1/7/2022,0,,,,
674,121.0,Edgeify,380595,$448714.47,2/24/2020,1,Katina,Orrocks,korrocks1a@msn.com,583-797-7636
675,,Voonder,777525,$983243.35,3/14/2021,0,,,,
676,,Fliptune,254128,$2627144.74,5/9/2021,1,,,,
677,,Jaxnation,791271,$664489.19,11/28/2020,0,,,,
678,161.0,Rhyloo,927189,$610621.02,5/28/2020,0,Sasha,Clewley,sclewley29@mac.com,179-334-7720
679,142.0,Meejo,368528,$278461.57,5/21/2021,0,Abran,Antoniat,aantoniat1w@furl.net,100-915-9177
680,174.0,Topicshots,169365,$479903.47,2/28/2022,0,Ajay,Hamley,ahamley2j@narod.ru,239-907-2012
681,,Muxo,463953,$1818208.33,4/25/2020,1,,,,
682,,Jaxspan,833588,$1851068.17,5/21/2021,1,,,,
683,,Jaxbean,759637,$567512.58,3/19/2020,0,,,,
684,,Bubbletube,167937,$1257013.44,12/10/2020,0,,,,
685,,Twitternation,763152,$159855.11,3/25/2021,1,,,,
686,,Brainverse,31064,$1639705.89,3/27/2020,1,,,,
687,,Feednation,507856,$2855031.10,11/19/2020,0,,,,
688,,Realmix,465485,$2839164.46,3/10/2020,1,,,,
689,,Meedoo,7226,$2746085.98,1/24/2022,1,,,,
690,,Livefish,441168,$2656259.79,8/26/2020,0,,,,
691,,Skyndu,265139,$66912.53,2/15/2020,0,,,,
692,,Skinder,976255,$1161252.34,6/18/2021,0,,,,
693,,Voolith,676854,$1770950.63,9/22/2021,1,,,,
694,,Flipopia,111717,$2237530.23,10/21/2020,1,,,,
695,,Riffwire,400943,$1628739.07,11/21/2021,1,,,,
696,,Oyoba,552753,$2099481.91,9/5/2020,0,,,,
697,,Abatz,174541,$2122919.75,1/1/2020,1,,,,
698,181.0,Yamia,104928,$335600.39,12/3/2020,1,Ilario,Keedy,ikeedyk@cbslocal.com,202-879-2583
699,,Meevee,943954,$2346826.95,12/1/2021,0,,,,
700,,Topicware,311097,$882296.84,3/7/2021,1,,,,
701,,Lajo,970501,$1466890.47,1/1/2021,1,,,,
702,,Digitube,423524,$1089746.31,6/3/2021,0,,,,
703,,Blogtag,523664,$1709125.51,1/4/2021,0,,,,
704,108.0,Browsecat,894961,$346024.28,1/27/2021,1,Mikaela,Doddridge,mdoddridgep@tripadvisor.com,272-118-7247
705,,Thoughtbeat,83689,$890699.75,4/16/2020,0,,,,
706,,Twimbo,503463,$429602.80,2/4/2022,0,,,,
707,,Ooba,453454,$1593355.31,5/1/2020,0,,,,
708,,Jabbersphere,727677,$599294.30,3/26/2021,0,,,,
709,,Yakitri,602134,$525935.38,3/16/2021,1,,,,
710,,Quatz,64241,$2543147.33,1/6/2021,0,,,,
711,,Browseblab,299501,$1454094.04,2/20/2020,0,,,,
712,,Browseblab,16367,$584542.43,10/8/2021,0,,,,
713,,Yakidoo,727186,$2896502.42,3/31/2020,0,,,,
714,,Trunyx,693912,$1946921.28,12/15/2020,0,,,,
715,133.0,Jatri,286775,$2266581.54,5/13/2021,0,Winonah,Samson,wsamson9@aboutads.info,339-323-8206
716,134.0,Jatri,286775,$2266581.54,5/13/2021,0,Niccolo,Bram,nbramn@unesco.org,768-811-0370
717,,Skyndu,392662,$1854209.46,12/27/2021,0,,,,
718,,Meeveo,958049,$185800.73,12/9/2020,1,,,,
719,,Skimia,378631,$177397.42,2/11/2021,1,,,,
720,132.0,InnoZ,252244,$2534252.21,2/29/2020,1,Nicoline,Milmore,nmilmore7@dell.com,751-803-1026
721,161.0,Rhyloo,317266,$1791389.30,12/9/2021,0,Sasha,Clewley,sclewley29@mac.com,179-334-7720
722,151.0,Oozz,44629,$2093208.35,9/30/2021,0,Marje,Weldon,mweldon1t@toplist.cz,771-712-8373
723,,Thoughtbeat,404162,$740276.60,11/30/2020,0,,,,
724,,Quimba,91557,$1055992.93,12/18/2021,0,,,,
725,,Browseblab,471605,$2140966.20,12/28/2020,1,,,,
